Codigo;Tipologia;Curso;Anio;Matriculados;Asignatura;Tasa_Rendimiento;Tasa_Exito
139261024;FORMACIÓN BÁSICA;1;2015-16;227;SISTEMAS ELECTRÓNICOS DIGITALES;29.5;57.8
139261024;FORMACIÓN BÁSICA;1;2022-23;211;SISTEMAS ELECTRÓNICOS DIGITALES;62.1;86.8
139261024;FORMACIÓN BÁSICA;1;2016-17;227;SISTEMAS ELECTRÓNICOS DIGITALES;32.6;56.9
139261024;FORMACIÓN BÁSICA;1;2020-21;194;SISTEMAS ELECTRÓNICOS DIGITALES;42.3;69.5
139261024;FORMACIÓN BÁSICA;1;2024-25;201;SISTEMAS ELECTRÓNICOS DIGITALES;53.7;73.5
139261024;FORMACIÓN BÁSICA;1;2010-11;215;SISTEMAS ELECTRÓNICOS DIGITALES;43.7;64.4
139261025;FORMACIÓN BÁSICA;1;2011-12;161;EXPRESIÓN GRÁFICA EN INGENIERÍA;83.9;100.0
139261025;FORMACIÓN BÁSICA;1;2021-22;164;EXPRESIÓN GRÁFICA EN INGENIERÍA;84.8;100.0
139261025;FORMACIÓN BÁSICA;1;2023-24;160;EXPRESIÓN GRÁFICA EN INGENIERÍA;81.9;97.0
139261025;FORMACIÓN BÁSICA;1;2017-18;162;EXPRESIÓN GRÁFICA EN INGENIERÍA;85.2;100.0
139261025;FORMACIÓN BÁSICA;1;2018-19;156;EXPRESIÓN GRÁFICA EN INGENIERÍA;80.8;100.0
139261025;FORMACIÓN BÁSICA;1;2012-13;121;EXPRESIÓN GRÁFICA EN INGENIERÍA;85.1;99.0
139261025;FORMACIÓN BÁSICA;1;2013-14;161;EXPRESIÓN GRÁFICA EN INGENIERÍA;85.7;99.3
139261025;FORMACIÓN BÁSICA;1;2014-15;160;EXPRESIÓN GRÁFICA EN INGENIERÍA;83.8;99.3
139261025;FORMACIÓN BÁSICA;1;2015-16;154;EXPRESIÓN GRÁFICA EN INGENIERÍA;78.6;100.0
139261025;FORMACIÓN BÁSICA;1;2022-23;155;EXPRESIÓN GRÁFICA EN INGENIERÍA;87.7;93.2
139261025;FORMACIÓN BÁSICA;1;2016-17;151;EXPRESIÓN GRÁFICA EN INGENIERÍA;86.1;100.0
139261025;FORMACIÓN BÁSICA;1;2024-25;154;EXPRESIÓN GRÁFICA EN INGENIERÍA;84.4;97.7
139261025;FORMACIÓN BÁSICA;1;2020-21;151;EXPRESIÓN GRÁFICA EN INGENIERÍA;82.1;99.2
139261025;FORMACIÓN BÁSICA;1;2019-20;153;EXPRESIÓN GRÁFICA EN INGENIERÍA;88.9;100.0
139261025;FORMACIÓN BÁSICA;1;2010-11;297;EXPRESIÓN GRÁFICA EN INGENIERÍA;86.9;92.1
139262011;FORMACIÓN BÁSICA;2;2020-21;219;ESTADÍSTICA;48.4;76.8
139262011;FORMACIÓN BÁSICA;2;2025(*);191;ESTADÍSTICA;42.9;62.6
139262011;FORMACIÓN BÁSICA;2;2019-20;208;ESTADÍSTICA;53.8;76.7
139262011;FORMACIÓN BÁSICA;2;2021-22;192;ESTADÍSTICA;41.7;70.8
139262011;FORMACIÓN BÁSICA;2;2023-24;153;ESTADÍSTICA;52.9;73.0
139262011;FORMACIÓN BÁSICA;2;2017-18;163;ESTADÍSTICA;49.1;76.9
139262011;FORMACIÓN BÁSICA;2;2018-19;192;ESTADÍSTICA;33.9;59.1
139262011;FORMACIÓN BÁSICA;2;2010-11;59;ESTADÍSTICA;57.6;85.0
139262011;FORMACIÓN BÁSICA;2;2012-13;196;ESTADÍSTICA;36.2;61.7
139262011;FORMACIÓN BÁSICA;2;2013-14;185;ESTADÍSTICA;43.2;71.4
139262011;FORMACIÓN BÁSICA;2;2014-15;201;ESTADÍSTICA;43.3;70.2
139262011;FORMACIÓN BÁSICA;2;2015-16;187;ESTADÍSTICA;50.8;79.8
139262011;FORMACIÓN BÁSICA;2;2022-23;191;ESTADÍSTICA;54.5;86.0
139262011;FORMACIÓN BÁSICA;2;2016-17;139;ESTADÍSTICA;44.6;69.7
139262011;FORMACIÓN BÁSICA;2;2024-25;194;ESTADÍSTICA;63.9;82.7
139262011;FORMACIÓN BÁSICA;2;2011-12;143;ESTADÍSTICA;20.3;55.8
139262012;FORMACIÓN BÁSICA;2;2020-21;250;COMPUTABILIDAD Y ALGORITMIA;18.8;40.2
139262012;FORMACIÓN BÁSICA;2;2025(*);242;COMPUTABILIDAD Y ALGORITMIA;33.9;49.1
139262012;FORMACIÓN BÁSICA;2;2019-20;206;COMPUTABILIDAD Y ALGORITMIA;45.6;82.5
139262012;FORMACIÓN BÁSICA;2;2021-22;266;COMPUTABILIDAD Y ALGORITMIA;31.6;60.9
139262012;FORMACIÓN BÁSICA;2;2023-24;255;COMPUTABILIDAD Y ALGORITMIA;32.2;46.6
139262012;FORMACIÓN BÁSICA;2;2017-18;146;COMPUTABILIDAD Y ALGORITMIA;39.7;84.1
